target,file,filter,ra,dec,x,y,mag_aper,e_mag_aper,dist,snr
J160910.10-193037.6,iexn30010_drc.fits,F814W,242.2920805882811,-19.510490744952993,765.5240214095317,867.46456292341,23.04284067844723,0.04801999032497406,3.543855407575907,85.9476089477539
J160910.10-193037.6,iexn30020_drc.fits,F850LP,242.292093588464,-19.51049895530922,766.1620318425737,868.5532282969856,21.833409359769966,0.04755743592977524,2.3390757380547225,74.29568481445312
J041950.43+282048.5,iexn31010_drc.fits,F814W,64.96015350472163,28.346738276404203,764.1250721708811,867.8547255217222,21.137171506670303,0.00757571030408144,4.429138546944514,607.2232055664062
J041950.43+282048.5,iexn31020_drc.fits,F850LP,64.96015800129506,28.346734194386464,763.8025642719025,868.238112126441,19.998482246422213,0.00858267955482006,4.552220949218478,487.74188232421875
J043441.68+222049.1,iexn32010_drc.fits,F814W,68.67369501181014,22.346829205679164,781.6496297306905,856.4882629407247,23.400121304802877,0.06246237829327583,19.20623414789963,67.0497817993164
J043441.68+222049.1,iexn32020_drc.fits,F850LP,68.67369685702616,22.34682888532211,781.0902956261498,856.938301689504,22.169181207680552,0.06258083879947662,18.492263310217343,53.45381546020508
J043456.60+253944.7,iexn33010_drc.fits,F814W,68.73589484968127,25.66237506714963,770.3588091812077,868.9932482317022,23.16477404238775,0.049419205635786057,2.564669545247576,72.95663452148438
J043456.60+253944.7,iexn33020_drc.fits,F850LP,68.73589597749782,25.662372048700338,770.0800213872403,869.3219163437204,22.04743685820698,0.05688153952360153,2.1877583084725383,69.75482177734375
J043327.00+243157.2,iexn34010_drc.fits,F814W,68.36258650177798,24.53251467262981,768.4537013763428,857.6064520847349,22.908438567951105,0.03889061510562897,12.401849655066282,99.84242248535156
J043327.00+243157.2,iexn34020_drc.fits,F850LP,68.36258245723769,24.532523268307,768.1013371384822,857.94104781812,21.682648440122705,0.04015267267823219,12.059377966566322,91.69769287109375
J043737.07+233107.2,iexn35010_drc.fits,F814W,69.40449161185506,23.51860770917543,766.9513129243538,869.8965161469711,21.498666880318904,0.01107815746217966,1.0537805703584746,427.6505432128906
J043737.07+233107.2,iexn35020_drc.fits,F850LP,69.40449389801417,23.518602418572037,766.622197320946,870.2684457780412,20.243752559205547,0.010880203917622566,1.4037105678010628,389.3271179199219
J041947.39+281534.6,iexn36010_drc.fits,F814W,64.9475141072903,28.259534371902877,771.0316817060522,856.1650959694923,22.205071863683333,0.020209306851029396,14.163179851296428,218.6133270263672
J041947.39+281534.6,iexn36020_drc.fits,F850LP,64.94751481824275,28.259539880283906,770.6021850132822,856.4832512504997,21.0353371035824,0.022020192816853523,13.76495054842071,181.40943908691406
J043907.77+264236.0,iexn38010_drc.fits,F814W,69.78239897631371,26.709936425731236,774.0358027386897,859.6748508680088,23.071433807662526,0.04642364755272865,11.959917194455516,98.6574478149414
J043907.77+264236.0,iexn38020_drc.fits,F850LP,69.78239911465519,26.709941975476642,773.6191091149831,859.9742536538942,21.699334725401464,0.04072264954447746,11.493040374180396,101.84180450439453
J042443.77+270453.3,iexn44020_drc.fits,F850LP,66.18240281537217,27.081475042234626,771.2142464952697,866.0386016246231,21.080339837786887,0.023749522864818573,5.101378011948554,172.51986694335938
J043220.41+222953.8,iexn45020_drc.fits,F850LP,68.08509752880514,22.4982024177061,768.384073801405,872.5843520920929,19.375351840275904,0.005284771788865328,2.612735811526033,799.6323852539062
J043149.51+271828.6,iexn46020_drc.fits,F850LP,67.9563724724779,27.307920317747943,776.4632279874712,867.2338719910788,22.126921561799243,0.06135766953229904,8.903802116492397,46.04329299926758
J041514.73+280009.0,iexn47020_drc.fits,F850LP,63.811451681475084,28.002438174281718,772.0366420794296,856.3047668834702,17.472517710557064,0.0008280576439574361,14.277741046591276,5100.09814453125
J043241.50+224353.9,iexn48010_drc.fits,F814W,68.17581782838133,22.73192891580422,651.3821976076038,1075.3898346110843,25.16926347602673,0.40060487389564514,236.187840492267,8.975044250488281
J043241.50+224353.9,iexn48020_drc.fits,F850LP,68.17278182943521,22.734098234747872,958.3762225486279,980.2040882338183,23.790648362916954,0.35551416873931885,219.97283281199046,7.195250511169434
J044449.42+252722.6,iexn49010_drc.fits,F814W,71.20594854409359,25.456231598840528,771.2989216521684,858.7039338344056,22.559515242773298,0.027889922261238098,11.767922284100637,130.46908569335938
J044117.10+260527.4,iexn39010_drc.fits,F814W,70.32132932105777,26.090886885614523,770.4804065378011,872.7748705186461,23.152142895990348,0.048765454441308975,3.7218708988918103,78.28333282470703
J044117.10+260527.4,iexn39020_drc.fits,F850LP,70.32132893583683,26.090880932379747,770.1079324257835,873.0956692253455,21.753630037511265,0.04336412623524666,3.745203207360168,84.82958984375
J042618.07+243806.8,iexn40010_drc.fits,F814W,66.57531494697575,24.635165797886913,770.3957766704759,859.5731482016537,23.284230498589952,0.05515168234705925,10.698550569094609,70.81784057617188
J042618.07+243806.8,iexn40020_drc.fits,F850LP,66.57531546712801,24.63517208717421,770.0420451444583,859.9014800208627,22.12159402002085,0.05965609848499298,10.302914837124565,68.51889038085938
J042930.88+264433.3,iexn41010_drc.fits,F814W,67.37869821941759,26.742574570787692,771.1589262155708,860.1681776568157,22.85913268223099,0.03658025711774826,10.326836176843225,108.16436004638672
J042930.88+264433.3,iexn41020_drc.fits,F850LP,67.37867655010116,26.742534718337076,772.1143552319529,861.4453518685999,22.09150075466009,0.0585990734398365,9.49262469640327,73.34292602539062
J043720.62+242251.2,iexn42010_drc.fits,F814W,69.33590673518749,24.38094156269659,773.6720118997772,861.4738487448618,23.72105022021344,0.08291058987379074,10.240457715195582,17.483409881591797
J043720.62+242251.2,iexn42020_drc.fits,F850LP,69.33591526481302,24.38094819334293,774.0813272157372,861.8154239218825,22.71794938341096,0.1060430258512497,10.196559531693032,13.877250671386719
J041546.22+280811.4,iexn43010_drc.fits,F814W,63.94259742306067,28.136490191136367,769.4301238649251,865.8747468978827,25.454326200237023,0.40852198004722595,4.366115828234162,22.20636558532715
J041546.22+280811.4,iexn43020_drc.fits,F850LP,63.94260639437888,28.13648932734106,769.3724504723261,866.5645929530206,23.377086663933838,0.19328323006629944,3.6994110176383748,16.79914665222168
J042443.77+270453.3,iexn44010_drc.fits,F814W,66.18239874268535,27.081478602895107,771.4931098448668,865.638016961866,22.448905337514145,0.026464898139238358,5.58826559974327,172.34446716308594
J043220.41+222953.8,iexn45010_drc.fits,F814W,68.08509627346528,22.498202961838842,768.641541997551,872.2913206891603,20.62781933343253,0.0055183954536914825,2.3794383024562613,824.1237182617188
J043149.51+271828.6,iexn46010_drc.fits,F814W,67.95637062155004,27.30792003548923,776.487068295533,866.7665881721571,23.308405878506083,0.05626824498176575,9.082140733410643,70.18901824951172
J041514.73+280009.0,iexn47010_drc.fits,F814W,63.811451906599444,28.002431766968538,772.5067937913497,856.0723508501486,18.640303633985393,0.0007713303784839809,14.638668010413513,5886.43408203125
J044449.42+252722.6,iexn49020_drc.fits,F850LP,71.205949195972,25.45623809760523,770.8832605610502,859.001255133187,21.53505222166696,0.03515906259417534,11.37038170459343,112.01561737060547
J042631.08+262831.3,iexn50010_drc.fits,F814W,66.6295764003423,26.47536176166111,764.805403274221,859.469150849638,23.886371291082934,0.09659826010465622,11.004736801397717,18.610660552978516
J042631.08+262831.3,iexn50020_drc.fits,F850LP,66.62958623017809,26.475365958105783,764.4660059364961,859.5550253499985,23.027567434734657,0.13790620863437653,11.026631828444057,11.756988525390625
